T 8,40 20,20 8,I
B 7,80 20,20 11,I
W 7,120 30,30 22,I
- 5,0 20,25 2,C
- 6,0 20,25 2,C
- 7,0 20,25 2,C
- 8,0 20,25 2,C
- 9,0 20,25 2,C
- 4,1 20,25 2,C
- 4,2 20,25 2,C
- 4,3 20,25 2,C
- 4,4 20,25 2,C
- 4,5 20,25 2,C
- 5,6 20,25 2,C
- 5,7 20,25 2,C
- 5,8 20,25 2,C
- 5,9 20,25 2,C
- 5,10 20,25 2,C
- 4,11 20,25 2,C
- 3,12 20,25 2,C
- 2,13 20,25 2,C
- 2,14 20,25 2,C
- 1,15 20,25 2,C
- 0,16 20,25 2,C
- 0,17 20,25 2,C
- 0,18 20,25 2,C
- 1,19 20,25 2,C
- 1,20 20,25 2,C
- 2,21 20,25 2,C
- 3,22 20,25 2,C
- 3,23 20,25 2,C
- 3,24 20,25 2,C
- 4,25 20,25 2,C
- 5,26 20,25 2,C
- 5,27 20,25 2,C
- 6,28 20,25 2,C
- 7,29 20,25 2,C
- 8,30 20,25 2,C
- 8,31 20,25 2,C
- 7,32 20,25 2,C
- 7,33 20,25 2,C
- 6,34 20,25 2,C
- 5,35 20,25 2,C
- 5,36 20,25 2,C
- 5,37 20,25 2,C
- 5,38 20,25 2,C
- 10,1 20,25 2,C
- 10,2 20,25 2,C
- 10,3 20,25 2,C
- 10,4 20,25 2,C
- 10,5 20,25 2,C
- 9,6 20,25 2,C
- 9,7 20,25 2,C
- 9,8 20,25 2,C
- 9,9 20,25 2,C
- 9,10 20,25 2,C
- 8,11 20,25 2,C
- 7,12 20,25 2,C
- 6,13 20,25 2,C
- 6,14 20,25 2,C
- 5,15 20,25 2,C
- 4,16 20,25 2,C
- 4,17 20,25 2,C
- 4,18 20,25 2,C
- 5,19 20,25 2,C
- 5,20 20,25 2,C
- 6,21 20,25 2,C
- 7,22 20,25 2,C
- 7,23 20,25 2,C
- 7,24 20,25 2,C
- 8,25 20,25 2,C
- 9,26 20,25 2,C
- 9,27 20,25 2,C
- 10,28 20,25 2,C
- 11,29 20,25 2,C
- 12,30 20,25 2,C
- 12,31 20,25 2,C
- 11,32 20,25 2,C
- 11,33 20,25 2,C
- 10,34 20,25 2,C
- 9,35 20,25 2,C
- 9,36 20,25 2,C
- 9,37 20,25 2,C
- 9,38 20,25 2,C
